rank,percentile,ticker,score,sector,market_cap,price,liquidity,pe_ratio,fcf_yield,earnings_yield,ttm_gross_margin,ttm_operating_margin,debt_to_ebitda,roa,top_factor,value_trap,missing_factor_count,data_quality,feature_available_date
1,100.0,MUR,6.78830052803782,ENERGY,5339209380.0,36.98,,0.10070718569556077,60.20578031723492,9.929778030169704,0.0026557749654198735,0.0018425047765859284,0.8284578416781136,0.005282891344981294,high_fcf_yield,False,0,good,2026-05-15 10:17:54.179147
2,99.92542878448918,DVN,6.133589025016421,ENERGY,28369420000.0,45.61,,13.206627190287321,0.07228966965133585,0.07571956000510409,0.3456753852409601,0.30841989583659285,0.0001762193798982902,66.0086654580094,low_ps,False,0,good,2026-05-15 10:38:26.007848
3,99.85085756897838,EVTC,4.965077200051647,TECHNOLOGY,1502521790.0,24.01,,0.06297271189926425,20.851702922724332,15.879894161135592,0.5229802731915122,0.17981198798552167,0.677613242185502,0.01039188705977454,high_earnings_yield,False,0,good,2026-05-15 10:39:46.182922
4,99.77628635346755,TGTX,4.242089688038189,HEALTHCARE,6860271292.36,42.86,,14.852415462268564,-0.0020685770861283473,0.06732911576170383,0.8303531524996823,0.21346071744230377,0.011614342629482072,0.3021224630225459,low_ps,False,1,partial,2026-05-15 10:22:59.498867
5,99.70171513795675,HMC,3.338357150822112,CONSUMER CYCLICAL,31961513851.83,24.51,,0.06407886326992748,0.37019523089087164,15.605769967977954,0.20476801936204933,0.031160626849861282,2.9502154587051646,0.01518389195030398,high_earnings_yield,False,0,good,2026-05-15 10:43:27.032593
6,99.62714392244594,HRB,3.2247941238325457,CONSUMER CYCLICAL,4785913440.0,36.96,,15.959486261448273,-0.14536809905195444,0.0626586585318601,0.5054159552025738,-0.014646634334598427,0.20279717452626622,88.41504983610076,low_evebitda,True,0,good,2026-05-15 10:43:48.720585
7,99.55257270693512,MCY,3.1527005253603058,FINANCIAL SERVICES,5520621630.0,99.67,,6.573397206382622,0.2571137989762939,0.15212833921385768,0.4385426884110987,0.1696856134637061,0.0059327331339682505,85.06578384288653,low_ps,False,0,good,2026-05-15 10:17:00.937770
8,99.47800149142431,TAK,1.9266096121358218,HEALTHCARE,52753246560.0,16.46,,0.4597194355498202,18.13335611320146,2.175239771631602,0.6211175355392597,0.08308438779521149,0.8373108053174797,0.0074420379027498205,high_fcf_yield,False,0,good,2026-05-15 10:22:43.561853
9,99.4034302759135,PFBC,1.6620847338776055,FINANCIAL SERVICES,1168254204.48,95.04,,8.66966133697459,0.14276516134965495,0.11534475928548382,0.5538288127669353,0.3794423182066703,0.0299239037777824,0.017603969985774636,low_ps,False,0,good,2026-05-15 10:19:40.407242
10,99.32885906040269,NCLH,1.4856624776639755,CONSUMER CYCLICAL,7961758325.079999,17.08,,14.012073637037206,-0.11920444721492646,0.07136702431799707,0.430469751556634,0.15879052083187956,0.4938873263407305,0.023879407870265053,low_ps,False,1,partial,2026-05-15 10:18:02.016921
11,99.25428784489188,FTNT,1.406453511689327,TECHNOLOGY,84731196000.0,114.07,,43.35185264773599,0.028743840698294876,0.02306706493320359,0.8067374639566777,0.310598494971517,0.4039448688411948,0.19775383214448322,low_ps,False,1,partial,2026-05-15 10:41:31.848198
12,99.17971662938105,CPK,1.3957214394782433,UTILITIES,3040780260.0,126.42,,40.511705544815904,-0.051171076728839325,0.024684223647255588,0.501831659963918,0.2511707556874966,0.0005984326045289699,0.01856708553900955,low_ps,False,0,good,2026-05-15 10:36:25.809014
13,99.10514541387025,WINA,1.1366599190905589,CONSUMER CYCLICAL,1384768089.1999998,373.4,,33.81417134568754,0.029997802754104654,0.029573399560108814,0.9666461534116916,0.6278585691475154,0.011405188925648615,1.1676370292648435,low_ps,False,0,good,2026-05-15 10:24:56.029166
14,99.03057419835943,MAR,0.948791309076234,CONSUMER CYCLICAL,95146692000.0,353.18,,36.821475232198146,0.03125699840410637,0.027158064517892013,0.06018497216214973,0.19587723738094143,0.5482260183968463,0.15978233984664852,high_div_yield,False,0,good,2026-05-15 10:16:50.633580
15,98.95600298284862,LOW,0.8219043863539026,CONSUMER CYCLICAL,128352000000.0,229.2,,19.289449954914335,0.05960951134380454,0.0518418100224383,0.334758825301903,0.11766682891778504,0.4655921162518791,0.1228945035460993,low_ps,False,0,good,2026-05-15 10:16:30.274251
16,98.88143176733782,OGN,0.8006470852933915,HEALTHCARE,3509661600.0,13.35,,14.266917073170731,0.17494564148292815,0.07009222769511454,0.5310725296122019,0.1922764887230245,1.2075471698113207e-05,18.928901200369346,low_ps,False,0,good,2026-05-15 10:18:53.232999
17,98.80686055182699,HMY,0.7308084628615278,BASIC MATERIALS,11243280000.0,17.79,,0.42688634142643267,1.8124821098469486,2.3425439114742317,0.38298400335800903,0.30920633845856654,0.20247507282108324,0.22999382030844256,high_earnings_yield,False,0,good,2026-05-15 10:43:30.065626
18,98.73228933631619,CCL,0.7022981566214305,CONSUMER CYCLICAL,36720960000.0,26.38,,11.856945431062316,0.08131595688130157,0.08433875367092801,0.37548190984578883,0.16852016607354686,0.4389603207521084,0.06005778889599939,low_ps,False,0,good,2026-05-15 10:34:41.071945
19,98.65771812080537,MC,0.6813775541553538,FINANCIAL SERVICES,5172428435.24,65.08,,23.383280599813745,0.08061261846741298,0.04276559893858372,0.6933371155104338,0.18133992338476965,0.09627254669315168,0.17158162386731554,low_ps,False,0,good,2026-05-15 10:16:56.386186
20,98.58314690529456,RCL,0.6364745131196182,CONSUMER CYCLICAL,74590040000.0,275.24,,16.634710080285462,0.018380470100297572,0.060115264718989286,0.47226452033935173,0.27876876223624103,0.4170171012054948,0.10678733031674208,low_evebitda,False,0,good,2026-05-15 10:20:38.621029
21,98.50857568978374,IT,0.6315824546288396,TECHNOLOGY,11099947250.0,158.65,,14.988100269517032,0.11332450251058625,0.06671959634763129,0.6824678757900438,0.1643040718597466,0.007923917711699348,0.09674168380409164,low_ps,False,1,partial,2026-05-15 10:15:20.713101
22,98.43400447427292,NSP,0.5246640010298769,INDUSTRIALS,1228643000.0000002,32.59,,75.66555645893921,0.05453170693195663,-0.020347651840282324,0.1287258912916423,-0.0023378141437755697,0.5277777777777778,-0.011384335154826957,low_ps,True,0,good,2026-05-15 10:18:26.139179
23,98.35943325876212,SBS,0.391129949347832,UTILITIES,4344873200.0,6.35,,0.5237413898079241,-1.074733981419757,1.9093392644922298,0.36636657222885727,0.32229133082332273,0.6968282489694181,0.07810223910131554,high_earnings_yield,False,0,good,2026-05-15 10:21:27.228841
24,98.28486204325131,MOH,0.3521118108899705,HEALTHCARE,9482940000.0,185.94,,50.44117021276596,0.026257679580383303,0.019825075345831566,0.0958624514697726,0.011625069328896283,0.0,0.011469708986639009,low_ps,False,1,partial,2026-05-15 10:17:25.917036
25,98.2102908277405,FUTU,0.3421793797297467,FINANCIAL SERVICES,20482673621.25,144.59,,1.6272458202202755,1.9886759782053371,0.6145353010429813,0.8811691420757923,0.632044395326248,1.1294357768841987,0.055107174088777855,high_fcf_yield,False,0,good,2026-05-15 10:41:38.700605
26,98.13571961222968,GDDY,0.33447677229335665,TECHNOLOGY,12222984780.0,91.02,,14.047793104240892,0.13427980395472602,0.07118555865533852,0.5979656428528773,0.23850946513525886,0.022523866348448687,0.10670312959874424,low_ps,False,1,partial,2026-05-15 10:41:52.166555
27,98.06114839671886,KNSA,0.3312969708432679,HEALTHCARE,4829208595.8,58.6,,66.10102378658053,0.03400764260687188,0.01512835872601136,0.5463215060109144,0.12362126928764199,0.03122229882793263,0.08852510663047693,low_ps,False,1,partial,2026-05-15 10:15:56.536891
28,97.98657718120806,TSM,0.31932382554647903,TECHNOLOGY,2135054816000.0,411.68,,1.1008301323230927,0.5162219066885072,0.9084053666751383,0.6188617195180239,0.5326166276247574,0.049815297627876516,0.22398466782381368,high_earnings_yield,False,0,good,2026-05-15 10:23:30.853756
29,97.91200596569725,ERIC,0.2782190113340458,TECHNOLOGY,39714840000.0,11.88,,1.602929258432059,0.8228413211786827,0.6238578494587916,0.48048341878394335,0.13728395720021655,0.46437646979015706,0.08579527564808241,high_earnings_yield,False,0,good,2026-05-15 10:39:28.768058
30,97.83743475018642,PRU,0.26368256927927664,FINANCIAL SERVICES,35223014000.0,100.81,,10.136119136690649,0.2778013261443214,0.09865708823214277,0.30817264138734307,0.0816778827488029,0.17573843581645923,4.540109746537758,low_ps,False,0,good,2026-05-15 10:20:20.695872
31,97.76286353467562,KEX,0.2495945487784108,INDUSTRIALS,7682809120.000001,142.24,,22.00325093723061,0.052810240845863936,0.0454478296344814,0.2591672635757028,0.13778290706316654,0.08033013987379349,6.018667907746406,low_ps,False,1,partial,2026-05-15 10:15:43.985482
32,97.6882923191648,HCI,0.24063391297898806,FINANCIAL SERVICES,1961307920.0,152.24,,6.238971129009683,0.22513548000152878,0.16028283819911357,0.7106572878278514,0.46290046771998905,0.08328385623400333,0.12430721633830619,low_ps,False,0,good,2026-05-15 10:43:07.549301
33,97.613721103654,ZTO,0.23841210056351622,INDUSTRIALS,19872098166.600002,25.05,,2.064184537228405,0.8105824993896948,0.4844528102815396,0.25159137837499734,0.20626444742353048,0.9089021186189622,0.10569704256474059,low_ps,False,0,good,2026-05-15 10:25:30.745809
34,97.53914988814317,MTD,0.23697036642331734,HEALTHCARE,22810945113.18,1124.46,,26.243820547542377,0.037203543991242045,0.03810420811971471,0.5752477586051457,0.2777891609847906,0.1313073366775868,0.234116853586364,low_ps,False,1,partial,2026-05-15 10:17:44.831128
35,97.46457867263236,SPNT,0.23154612201003996,FINANCIAL SERVICES,2857123752.7,23.45,,6.216544283507398,0.033705225371843235,0.1608610756064294,0.39465512374141337,0.16975628117060318,0.004120070629782225,3.792079207920792,low_ps,False,1,partial,2026-05-15 10:22:11.134895
36,97.39000745712156,HALO,0.22686749299107453,HEALTHCARE,7545128640.000001,64.12,,23.810004891302633,0.08543101526231897,0.04199915138888871,0.8194558112459375,0.5844812907817567,1.6034768678857891,0.1254845419774025,low_ps,False,1,partial,2026-05-15 10:43:00.115959
37,97.31543624161074,CVLT,0.2262373361951775,TECHNOLOGY,4546508670.0,105.09,,64.34618891263428,0.05216112344947975,0.015540935941952135,0.8093394385354273,0.07822402825063995,0.05948993976675637,0.03745788724516979,high_earnings_yield,False,1,partial,2026-05-15 10:37:12.900774
38,97.24086502609993,BBWI,0.2238160397271365,CONSUMER CYCLICAL,4320870000.0,19.73,,6.65773497688752,0.20019116520515542,0.15020123262213397,0.4372514058428199,0.1544369770950487,0.5377492877492878,0.12803314263168278,low_ps,False,0,good,2026-05-15 10:32:45.346520
39,97.16629381058911,NVO,0.216836221769312,HEALTHCARE,204442176568.63,46.07,,1.6763463890439254,0.1517739662176985,0.5965354216382047,0.8184990848078096,0.4529743746186699,0.17361177574029057,0.21808372718478025,high_earnings_yield,False,0,good,2026-05-15 10:18:35.472759
40,97.0917225950783,PARR,0.2030276266571583,ENERGY,3194811840.0,64.37,,7.033296965780934,0.08817921496121661,0.1421808299671257,0.19500371452312257,0.08191663560183493,0.13448876988373104,2.6383590388457785,low_ps,False,1,partial,2026-05-15 10:19:22.480155
41,97.0171513795675,COKE,0.1943740544170883,CONSUMER DEFENSIVE,1697605090.0,174.31,,2.9343575840021296,0.39002474951344546,0.34079009506268626,0.39302546076945105,0.13366123414989647,0.1132692500068206,0.13170167468449986,low_ps,False,0,good,2026-05-15 10:36:08.727887
42,96.94258016405668,DXC,0.18724395672475377,TECHNOLOGY,1587351900.0,9.43,,3.7526049645390067,0.6432096121849226,0.266481553334204,0.1969565560198691,0.05416699519041236,0.5621773815110277,0.03210138878348638,low_ps,False,0,good,2026-05-15 10:38:27.081351
43,96.86800894854586,MTN,0.1829786217133733,CONSUMER CYCLICAL,4503832200.0,125.42,,19.535418808312407,0.06356653340681742,0.05118907405120466,0.5907950876285096,0.26366040264689233,0.16896838533055653,0.04116909243960984,low_ps,False,0,good,2026-05-15 10:17:48.428196
44,96.79343773303505,SMG,0.18229961378440063,BASIC MATERIALS,3609828000.0,61.08,,32.55029756537421,0.10479723687666005,0.030721685354537672,0.3247573245212876,0.13578024960906382,0.5378248315688162,0.03250293083235639,low_ps,False,0,good,2026-05-15 10:21:59.373246
45,96.71886651752423,WYNN,0.1677438542274611,CONSUMER CYCLICAL,10631196000.0,102.42,,32.478129372445274,0.06511214730685051,0.030789950632083164,0.39192473890167506,0.1587318665763323,0.01069118329584981,0.02424580814410099,low_ps,False,0,good,2026-05-15 10:25:19.496262
46,96.64429530201343,CAH,0.16621556989309255,HEALTHCARE,43341400000.0,183.65,,27.800769724182167,0.10133498225714904,0.03597022708080495,0.036839101333471694,0.009227735891981208,0.44115713346482577,0.027500926105593678,low_ps,False,0,good,2026-05-15 10:34:07.154186
47,96.5697240865026,BLKB,0.16383504755459585,TECHNOLOGY,1738176712.5,37.5,,12.301321390658174,0.16802491823742,0.0812920797890393,0.5918601904785319,0.19478611773775353,0.14646408752430792,0.06698911201736313,low_ps,False,0,good,2026-05-15 10:33:33.726276
48,96.4951528709918,MAS,0.1557177711465177,INDUSTRIALS,14552971438.82,71.74,,17.38706265091995,0.06479776339590353,0.05751402753167683,0.3540825628337023,0.16786039848938664,0.18614718614718614,0.1599464934072234,low_ps,False,0,good,2026-05-15 10:16:52.135055
49,96.42058165548099,NU,0.15379943855962755,FINANCIAL SERVICES,67721457600.0,13.8,,23.605439870165906,0.043580795579332005,0.042363116531620545,0.44605588439940713,0.2447167808122338,1.0388372920414717,0.03830609543688064,low_pe,False,1,partial,2026-05-15 10:18:30.973452
50,96.34601043997017,HG,0.15324771705728887,FINANCIAL SERVICES,3131271620.0,30.86,,4.975500637177478,0.290066500203518,0.20098479990694645,0.4949409777866713,0.29663393117438935,0.0,0.0638014421925203,low_ps,False,0,good,2026-05-15 10:43:15.055077
51,96.27143922445936,BAP,0.15324544179814578,FINANCIAL SERVICES,26357044500.0,330.5,,3.925994232490799,0.2646817004842861,0.2547125494286736,0.7651629001925618,0.3394633580776491,1.3900178081532464,0.025112228428748135,low_ps,False,0,good,2026-05-15 10:32:41.217035
52,96.19686800894854,CHTR,0.1524622562535471,COMMUNICATION SERVICES,19643878107.06,154.86,,3.9821362471234547,0.20515297325896253,0.2511214930735638,0.43260853649608316,0.2410864631378578,0.03980587283690377,0.0318990714156385,low_ps,False,1,partial,2026-05-15 10:35:20.130936
53,96.12229679343773,KSS,0.15228197179687256,CONSUMER CYCLICAL,1667500000.0,14.5,,6.1531365313653135,0.5649175412293853,0.16251874062968516,0.4056804276421717,0.03284601017582276,0.1351963746223565,0.02028139500074839,low_ps,False,0,good,2026-05-15 10:16:03.736265
54,96.04772557792693,RNR,0.15221453662820902,FINANCIAL SERVICES,12795220480.000002,300.16,,4.560402092580805,0.33003745473559826,0.21927890999499208,0.5502935386963606,0.40396279201631935,0.0,0.05223023514739814,low_ps,False,0,good,2026-05-15 10:20:58.910255
55,95.97315436241611,SNEX,0.15029060479553533,FINANCIAL SERVICES,9931180259.52,121.92,,21.47746595916955,0.6546251130391041,0.046560427654784006,0.3127166985027208,0.30868500685952094,0.6350237524869057,0.008622538315658746,low_ps,False,1,partial,2026-05-15 10:22:03.791033
56,95.8985831469053,CNK,0.14783285649840086,COMMUNICATION SERVICES,3103782000.0,27.06,,18.246807760141092,0.08386542611562282,0.054804106731722785,0.32572884938148816,0.11997264872257102,0.054217974637015255,0.03914123981775507,low_ps,False,0,good,2026-05-15 10:35:49.863390
57,95.82401193139448,BAH,0.1391869859965574,INDUSTRIALS,9494366149.44,77.04,,11.347328089876362,0.0983148306382787,0.08812647277663194,0.5265098946612945,0.09159454507540653,0.2189369902873195,0.1186647284073181,low_ps,False,0,good,2026-05-15 10:32:34.151089
58,95.74944071588367,LNC,0.13738340603781476,FINANCIAL SERVICES,7027463101.599999,35.8,,5.975733929931972,-0.023763909903984803,0.1673434613597972,0.19984694435333988,0.0731387340111512,0.5069708491761724,0.0028187649207581903,low_ps,False,0,good,2026-05-15 10:16:26.796004
59,95.67486950037286,WU,0.13639501244832586,FINANCIAL SERVICES,2873376000.0,9.07,,6.518548094373866,0.11529991201986792,0.15340839486374216,0.3402431190393833,0.17648366852794387,0.37834164023561395,0.05441840942198958,low_ps,False,0,good,2026-05-15 10:25:15.888059
60,95.60029828486203,CALM,0.13435634183118356,CONSUMER DEFENSIVE,3607731260.0,76.09,,5.190733763720572,0.2003647023309602,0.1926509903068556,0.3377393249042874,0.25081893973764474,0.0006502551971366349,0.22140019577856063,low_ps,False,0,good,2026-05-15 10:34:10.173353
61,95.52572706935123,AXP,0.13420614425826463,FINANCIAL SERVICES,216796579999.99997,316.03,,19.32233333333333,0.06607115296744996,0.051753583935687554,0.834997755154045,0.2070476028685491,0.18384310316727331,0.036323139976820525,low_ps,False,0,good,2026-05-15 10:32:19.524449
62,95.45115585384042,HPQ,0.13375678237003294,TECHNOLOGY,21137760000.0,22.68,,8.424774810681546,0.136154445882629,0.11869753464889372,0.2014796635188248,0.05699905742588344,0.4230958230958231,0.060406885758998434,low_ps,False,0,good,2026-05-15 10:43:43.930585
63,95.3765846383296,THC,0.1313313849282017,HEALTHCARE,16676526480.0,190.38,,9.792440681150909,0.20082119642938978,0.10211958719595426,0.42763924493125144,0.16140759729666745,0.03679309561662503,0.054578085440502515,low_ps,False,1,partial,2026-05-15 10:23:00.371300
64,95.30201342281879,BCO,0.13063179016453078,INDUSTRIALS,4664070000.0,107.22,,25.88274139844617,0.11665776885852915,0.03863578376825391,0.26096556330711,0.10698382069170254,0.2848974518334369,0.0247683976138769,low_ps,False,0,good,2026-05-15 10:32:51.998309
65,95.22744220730797,LEG,0.1295821594988257,CONSUMER CYCLICAL,1418460000.0,10.06,,6.030867346938776,0.1981021671390099,0.16581362886510723,0.1816724618381791,0.05908608912233977,0.11368377138089278,0.0665083135391924,low_ps,False,0,good,2026-05-15 10:16:14.277572
66,95.15287099179717,ALL,0.1294855691018208,FINANCIAL SERVICES,55973190000.0,213.15,,4.608743515850144,0.20599147556178232,0.216978878638148,0.3982543418034496,0.2329977062170455,0.06721251374801418,0.09796566966734424,low_ps,False,0,good,2026-05-15 10:30:32.292217
