rank,percentile,ticker,company_name,score,sector,market_cap,price,liquidity,pe_ratio,fcf_yield,earnings_yield,ttm_gross_margin,ttm_operating_margin,debt_to_ebitda,roa,top_factor,value_trap,missing_factor_count,data_quality,feature_available_date,weight_pct,alloc_pct
16,98.3%,VRSN,VeriSign Inc,0.7,TECHNOLOGY,27B,268.7,219M,29.9,4.3%,3.3%,88.2%,67.7%,0.0,62.3%,low_ps,False,0,good,2026-03-31,5.9%,3.0%
17,98.2%,RNG,Ringcentral Inc,0.7,TECHNOLOGY,3B,40.2,83M,80.6,15.9%,1.2%,71.2%,5.0%,3.2,2.9%,high_fcf_yield,False,0,good,2026-03-31,3.1%,1.5%
18,98.1%,YELP,Yelp Inc,0.7,COMMUNICATION SERVICES,1B,27.6,30M,11.3,19.7%,8.9%,90.3%,12.6%,0.0,15.2%,high_fcf_yield,False,1,partial,2026-03-31,4.3%,2.1%
19,98.0%,IT,Gartner Inc,0.7,TECHNOLOGY,11B,148.5,244M,14.2,11.3%,7.0%,67.7%,15.8%,0.1,9.0%,high_fcf_yield,False,1,partial,2026-03-31,3.7%,1.9%
20,97.9%,PARR,Par Pacific Holdings Inc,0.6,ENERGY,3B,65.7,82M,8.8,9.9%,11.3%,18.1%,7.2%,0.4,9.1%,high_earnings_yield,False,1,partial,2026-03-31,2.5%,1.3%
21,97.8%,BHP,BHP Group Limited,0.6,BASIC MATERIALS,223B,87.8,186M,10.3,9.3%,9.7%,82.7%,41.0%,0.1,18.7%,high_earnings_yield,False,0,good,2026-03-01,5.5%,2.8%
22,97.7%,APA,APA Corporation,0.6,ENERGY,13B,40.7,267M,10.1,12.3%,9.9%,38.1%,30.9%,0.1,7.5%,high_fcf_yield,False,0,good,2026-03-31,3.3%,1.6%
23,97.6%,PRG,PROG Holdings Inc,0.5,INDUSTRIALS,2B,35.8,19M,10.0,22.2%,10.0%,84.9%,8.8%,-0.0,9.1%,high_fcf_yield,False,0,good,2026-03-31,3.9%,1.9%
24,97.5%,AU,AngloGold Ashanti plc,0.5,BASIC MATERIALS,48B,93.7,231M,18.1,6.6%,5.5%,48.3%,43.3%,0.0,17.5%,high_fcf_yield,False,0,good,2026-03-31,2.6%,1.3%
25,97.4%,AGX,Argan Inc,0.5,INDUSTRIALS,9B,677.5,187M,69.7,4.3%,1.4%,20.5%,14.3%,0.0,11.6%,low_ps,False,0,good,2026-05-01,3.0%,1.5%
28,97.1%,CMCSA,Comcast Corp,0.5,COMMUNICATION SERVICES,90B,27.0,784M,4.9,22.4%,20.4%,71.7%,16.7%,0.3,7.3%,high_fcf_yield,False,0,good,2026-03-31,5.6%,2.8%
