rank,percentile,ticker,company_name,score,sector,market_cap,price,liquidity,pe_ratio,fcf_yield,earnings_yield,ttm_gross_margin,ttm_operating_margin,debt_to_ebitda,roa,top_factor,value_trap,missing_factor_count,data_quality,feature_available_date,weight_pct,alloc_pct
1,99.9%,ZTO,ZTO Express (Cayman) Inc,1.8,INDUSTRIALS,17B,22.4,32M,2.0,79.3%,51.2%,24.9%,20.1%,1.7,9.4%,high_fcf_yield,False,0,good,2026-05-30,6.3%,6.3%
2,99.7%,CALM,Cal-Maine Foods Inc,1.2,CONSUMER DEFENSIVE,4B,80.6,62M,5.5,18.9%,18.2%,33.8%,25.1%,0.0,22.1%,high_earnings_yield,False,0,good,2026-04-29,5.6%,5.6%
3,99.5%,KSS,Kohl's Corporation,1.0,CONSUMER CYCLICAL,2B,17.7,96M,7.5,48.4%,13.3%,39.4%,3.2%,0.1,2.1%,high_fcf_yield,False,0,good,2026-06-29,2.1%,2.1%
4,99.4%,HLF,Herbalife Nutrition Ltd,1.0,CONSUMER DEFENSIVE,1B,13.1,22M,5.9,26.2%,16.8%,75.9%,9.1%,0.0,8.3%,high_fcf_yield,False,0,good,2026-05-30,2.0%,2.0%
5,99.0%,ENR,Energizer Holdings Inc,0.7,INDUSTRIALS,1B,21.4,23M,7.6,10.8%,13.2%,40.9%,14.7%,0.1,4.4%,high_earnings_yield,False,0,good,2026-05-30,3.1%,3.1%
6,98.9%,EIX,Edison International,0.7,UTILITIES,29B,74.4,172M,7.8,-2.2%,12.8%,37.7%,21.3%,1.1,3.9%,high_earnings_yield,False,0,good,2026-05-30,7.6%,7.6%
7,98.5%,GTX,Garrett Motion Inc,0.6,CONSUMER CYCLICAL,7B,36.2,104M,20.4,5.4%,4.9%,24.2%,14.2%,0.0,14.5%,high_earnings_yield,False,0,good,2026-05-30,3.2%,3.2%
8,98.5%,GFI,Gold Fields Ltd ADR,0.6,BASIC MATERIALS,30B,33.6,146M,6.2,12.8%,16.0%,52.5%,48.3%,0.1,31.7%,high_earnings_yield,False,0,good,2026-03-31,2.7%,2.7%
9,98.3%,AU,AngloGold Ashanti plc,0.6,BASIC MATERIALS,41B,80.9,352M,11.8,9.8%,8.5%,52.2%,48.1%,0.0,22.1%,high_fcf_yield,False,0,good,2026-05-30,2.6%,2.6%
10,98.2%,IAG,IAMGold Corporation,0.6,BASIC MATERIALS,9B,15.8,97M,9.3,13.6%,10.7%,47.9%,44.8%,0.0,16.9%,high_fcf_yield,False,0,good,2026-05-30,2.1%,2.1%
