rank,percentile,ticker,company_name,score,sector,market_cap,price,liquidity,pe_ratio,fcf_yield,earnings_yield,ttm_gross_margin,ttm_operating_margin,debt_to_ebitda,roa,top_factor,value_trap,missing_factor_count,data_quality,feature_available_date,weight_pct,alloc_pct
1,100.0%,WINA,Winmark Corporation,2.5,CONSUMER CYCLICAL,1B,391.4,17M,35.4,2.9%,2.8%,96.7%,62.8%,0.0,116.8%,low_ps,False,0,good,2026-05-30,10.0%,5.0%
2,99.9%,SNDK,Sandisk Corp,2.1,TECHNOLOGY,235B,1641.6,20B,57.2,1.7%,1.7%,56.0%,40.9%,0.0,26.4%,low_ps,False,1,partial,2026-05-30,10.0%,5.0%
4,99.7%,TGTX,TG Therapeutics Inc,1.8,HEALTHCARE,6B,38.8,82M,13.5,-0.2%,7.4%,83.0%,21.3%,0.0,30.2%,low_ps,False,1,partial,2026-05-30,10.0%,5.0%
5,99.6%,ZTO,ZTO Express (Cayman) Inc,1.7,INDUSTRIALS,17B,22.2,47M,1.9,79.3%,51.6%,24.9%,20.1%,1.9,9.4%,high_fcf_yield,False,0,good,2026-05-30,10.0%,5.0%
19,98.3%,CALM,Cal-Maine Foods Inc,0.6,CONSUMER DEFENSIVE,4B,76.5,52M,5.2,19.9%,19.2%,33.8%,25.1%,0.0,22.1%,high_fcf_yield,False,0,good,2026-04-29,10.0%,5.0%
