portfolio,date,net_return,gross_return,tc_cost,turnover,n_stocks
top_pct_20,2005-04-30,-0.09749749821300924,-0.09649749821300924,0.001,1.0,1
top_pct_20,2005-05-31,-0.007120253164557,-0.007120253164557,0.0,0.0,1
top_pct_20,2005-06-30,0.08764940239043817,0.08764940239043817,0.0,0.0,1
top_pct_20,2005-07-31,0.0849816849816849,0.0849816849816849,0.0,0.0,1
top_pct_20,2005-08-31,0.05705604321404456,0.05705604321404456,0.0,0.0,1
top_pct_20,2005-09-30,0.10178169643271806,0.10178169643271806,0.0,0.0,1
top_pct_20,2005-10-31,-0.09157401989467517,-0.09157401989467517,0.0,0.0,1
top_pct_20,2005-11-30,0.03607085346215788,0.03607085346215788,0.0,0.0,1
top_pct_20,2005-12-31,0.03885607709045691,0.03885607709045691,0.0,0.0,1
top_pct_20,2006-01-31,0.18043087971274696,0.18043087971274696,0.0,0.0,1
top_pct_20,2006-02-28,-0.08517110266159689,-0.08517110266159689,0.0,0.0,1
top_pct_20,2006-03-31,0.11483038653748223,0.11483038653748223,0.0,0.0,1
top_pct_20,2006-04-30,0.037190086144545886,0.03769008614454589,0.0005,0.5,2
top_pct_20,2006-05-31,-0.03393836867799175,-0.03360503534465842,0.00033333333333333343,0.33333333333333337,3
top_pct_20,2006-06-30,-0.03902016275017315,-0.03842016275017315,0.0006000000000000001,0.6,5
top_pct_20,2006-07-31,-0.02720321299241619,-0.026647657436860633,0.0005555555555555556,0.5555555555555556,9
top_pct_20,2006-08-31,0.01994857719717298,0.02014857719717298,0.00019999999999999996,0.19999999999999996,10
top_pct_20,2006-09-30,0.03588925177778757,0.036071069959605746,0.00018181818181818178,0.18181818181818177,11
top_pct_20,2006-10-31,0.051731577305969584,0.052411577305969584,0.0006799999999999999,0.6799999999999999,25
top_pct_20,2006-11-30,0.026301579759423113,0.026551579759423113,0.00025,0.25,32
top_pct_20,2006-12-31,-0.008585606158220564,-0.008438547334691153,0.0001470588235294118,0.1470588235294118,33
top_pct_20,2007-01-31,0.03749010028646509,0.038211030519023234,0.0007209302325581395,0.7209302325581395,86
top_pct_20,2007-02-28,-0.0006484787240895273,-0.0005916605422713456,5.681818181818177e-05,0.05681818181818177,87
top_pct_20,2007-03-31,0.021850305075023505,0.02190586063057906,5.5555555555555585e-05,0.05555555555555558,90
top_pct_20,2007-04-30,0.04697476466280328,0.04705085161932502,7.608695652173914e-05,0.07608695652173914,91
top_pct_20,2007-05-31,0.06106342856879382,0.06112864596009817,6.521739130434778e-05,0.06521739130434778,92
top_pct_20,2007-06-30,-0.008523040417420516,-0.008325123750753848,0.00019791666666666663,0.19791666666666663,95
top_pct_20,2007-07-31,-0.015902364160560373,-0.0158309355891318,7.142857142857141e-05,0.0714285714285714,96
top_pct_20,2007-08-31,0.004966275106949194,0.005069367890454349,0.00010309278350515462,0.1030927835051546,95
top_pct_20,2007-09-30,0.03469110538548265,0.03482375844670714,0.00013265306122448983,0.13265306122448983,95
top_pct_20,2007-10-31,0.025263619028362126,0.025316250607309496,5.263157894736848e-05,0.052631578947368474,95
top_pct_20,2007-11-30,-0.04857017305845759,-0.048487698831653464,8.247422680412375e-05,0.08247422680412375,94
top_pct_20,2007-12-31,-0.005583116115840177,-0.005449095497283476,0.000134020618556701,0.134020618556701,96
