rank,percentile,ticker,company_name,score,sector,market_cap,price,liquidity,pe_ratio,fcf_yield,earnings_yield,ttm_gross_margin,ttm_operating_margin,debt_to_ebitda,roa,top_factor,value_trap,missing_factor_count,data_quality,feature_available_date,weight_pct,alloc_pct
12,97.8%,TDC,Teradata Corp,0.6,TECHNOLOGY,3B,30.6,92M,7.0,22.7%,14.3%,60.2%,6.2%,0.2,19.7%,high_fcf_yield,False,0,good,2026-05-30,3.1%,3.1%
13,97.7%,BBWI,Bath & Body Works Inc.,0.6,CONSUMER CYCLICAL,5B,20.0,104M,5.5,22.6%,18.0%,43.2%,15.8%,0.1,14.6%,high_fcf_yield,False,0,good,2026-06-29,3.5%,3.5%
14,97.6%,M,Macy’s Inc,0.6,CONSUMER CYCLICAL,6B,24.9,112M,10.2,22.1%,9.8%,36.5%,4.5%,0.0,4.1%,high_fcf_yield,False,0,good,2026-06-29,4.0%,4.0%
15,97.4%,CARG,CarGurus,0.6,CONSUMER CYCLICAL,3B,36.0,41M,23.0,8.2%,4.4%,89.9%,21.7%,0.0,28.7%,high_fcf_yield,False,1,partial,2026-05-30,4.7%,4.7%
16,97.3%,GDDY,Godaddy Inc,0.6,TECHNOLOGY,11B,99.3,154M,15.3,12.3%,6.5%,59.8%,23.9%,0.0,10.7%,high_fcf_yield,False,1,partial,2026-05-30,5.4%,5.4%
17,97.2%,KGC,Kinross Gold Corporation,0.5,BASIC MATERIALS,28B,23.6,179M,9.9,10.7%,10.1%,52.8%,48.2%,0.0,22.1%,high_earnings_yield,False,0,good,2026-05-30,3.1%,3.1%
18,97.1%,NUTX,Nutex Health Inc,0.5,HEALTHCARE,1B,148.7,22M,11.1,25.2%,9.0%,47.5%,31.4%,0.2,10.1%,high_fcf_yield,False,1,partial,2026-05-30,2.2%,2.2%
19,96.7%,COLL,Collegium Pharmaceutical Inc,0.5,HEALTHCARE,1B,36.0,14M,19.2,22.9%,5.2%,60.7%,23.8%,0.1,4.5%,high_fcf_yield,False,1,partial,2026-05-30,3.3%,3.3%
20,96.4%,APA,APA Corporation,0.5,ENERGY,12B,36.3,179M,8.4,11.5%,11.9%,53.9%,34.6%,0.1,8.5%,high_earnings_yield,False,0,good,2026-05-30,3.3%,3.3%
21,96.3%,CMCSA,Comcast Corp,0.5,COMMUNICATION SERVICES,88B,23.7,866M,4.6,23.8%,22.0%,70.1%,15.3%,0.2,7.2%,high_fcf_yield,False,0,good,2026-05-30,6.2%,6.2%
22,96.2%,YELP,Yelp Inc,0.4,COMMUNICATION SERVICES,1B,26.3,26M,11.2,18.0%,8.9%,88.9%,12.8%,0.0,13.7%,high_fcf_yield,False,1,partial,2026-05-30,4.4%,4.4%
23,96.0%,HL,Hecla Mining Company,0.4,BASIC MATERIALS,10B,14.9,586M,36.8,4.6%,2.7%,50.9%,44.4%,0.0,8.1%,high_fcf_yield,False,0,good,2026-05-30,2.2%,2.2%
24,95.9%,AES,The AES Corporation,0.4,UTILITIES,10B,14.9,119M,7.9,-13.9%,12.6%,19.3%,16.5%,1.7,2.5%,high_fcf_yield,False,0,good,2026-05-30,5.9%,5.9%
25,95.8%,CHTR,Charter Communications Inc,0.4,COMMUNICATION SERVICES,22B,142.0,418M,3.7,22.4%,27.4%,43.3%,24.1%,0.1,3.2%,high_earnings_yield,False,1,partial,2026-05-30,4.7%,4.7%
