rank,percentile,ticker,company_name,score,sector,market_cap,price,liquidity,pe_ratio,fcf_yield,earnings_yield,ttm_gross_margin,ttm_operating_margin,debt_to_ebitda,roa,top_factor,value_trap,missing_factor_count,data_quality,feature_available_date,weight_pct,alloc_pct
1,99.9%,ZTO,ZTO Express (Cayman) Inc,1.7,INDUSTRIALS,17B,23.9,37M,2.1,79.3%,48.1%,24.9%,20.1%,1.7,9.4%,high_fcf_yield,False,0,good,2026-05-30,6.6%,6.6%
2,99.6%,CALM,Cal-Maine Foods Inc,1.1,CONSUMER DEFENSIVE,4B,87.1,90M,5.9,17.5%,16.8%,33.8%,25.1%,0.0,22.1%,high_earnings_yield,False,0,good,2026-04-29,6.0%,6.0%
3,99.4%,KSS,Kohl's Corporation,1.0,CONSUMER CYCLICAL,2B,19.5,62M,8.2,44.0%,12.1%,39.4%,3.2%,0.1,2.1%,high_fcf_yield,False,0,good,2026-06-29,2.2%,2.2%
4,99.4%,HLF,Herbalife Nutrition Ltd,1.0,CONSUMER DEFENSIVE,1B,12.4,17M,5.6,27.7%,17.8%,75.9%,9.1%,0.0,8.3%,high_fcf_yield,False,0,good,2026-05-30,2.0%,2.0%
5,99.2%,EIX,Edison International,0.8,UTILITIES,29B,78.7,169M,8.2,-2.1%,12.1%,37.7%,21.3%,1.1,3.9%,high_earnings_yield,False,0,good,2026-05-30,7.6%,7.6%
6,99.0%,ENR,Energizer Holdings Inc,0.8,INDUSTRIALS,1B,21.0,19M,7.4,11.0%,13.4%,40.9%,14.7%,0.1,4.4%,high_earnings_yield,False,0,good,2026-05-30,3.2%,3.2%
7,98.6%,GTX,Garrett Motion Inc,0.7,CONSUMER CYCLICAL,7B,31.0,76M,17.5,6.3%,5.7%,24.2%,14.2%,0.0,14.5%,high_earnings_yield,False,0,good,2026-05-30,3.0%,3.0%
8,98.6%,IAG,IAMGold Corporation,0.7,BASIC MATERIALS,9B,14.6,72M,8.6,14.8%,11.7%,47.9%,44.8%,0.0,16.9%,high_fcf_yield,False,0,good,2026-05-30,2.2%,2.2%
9,98.2%,BHP,BHP Group Limited,0.6,BASIC MATERIALS,212B,85.9,197M,10.1,9.5%,9.9%,82.7%,41.0%,0.1,18.7%,high_earnings_yield,False,0,good,2026-03-01,5.6%,5.6%
10,98.2%,AU,AngloGold Ashanti plc,0.6,BASIC MATERIALS,41B,82.3,182M,12.0,9.6%,8.4%,52.2%,48.1%,0.0,22.1%,high_earnings_yield,False,0,good,2026-05-30,2.7%,2.7%
11,98.1%,GFI,Gold Fields Ltd ADR,0.6,BASIC MATERIALS,30B,33.5,119M,6.2,12.8%,16.1%,52.5%,48.3%,0.1,31.7%,high_earnings_yield,False,0,good,2026-03-31,2.8%,2.8%
