rank,percentile,ticker,company_name,score,sector,market_cap,price,liquidity,pe_ratio,fcf_yield,earnings_yield,ttm_gross_margin,ttm_operating_margin,debt_to_ebitda,roa,top_factor,value_trap,missing_factor_count,data_quality,feature_available_date,weight_pct,alloc_pct
14,97.7%,GDDY,Godaddy Inc,0.6,TECHNOLOGY,13B,82.7,169M,12.6,14.9%,7.9%,59.8%,23.9%,0.0,10.7%,high_fcf_yield,False,1,partial,2026-05-30,7.7%,7.7%
15,97.6%,KGC,Kinross Gold Corporation,0.6,BASIC MATERIALS,28B,23.1,176M,9.7,10.9%,10.3%,52.8%,48.2%,0.0,22.1%,high_earnings_yield,False,0,good,2026-05-30,3.0%,3.0%
16,97.6%,M,Macy’s Inc,0.6,CONSUMER CYCLICAL,7B,24.8,110M,10.1,22.2%,9.9%,36.5%,4.5%,0.0,4.1%,high_fcf_yield,False,0,good,2026-06-29,4.0%,4.0%
17,97.5%,TDC,Teradata Corp,0.6,TECHNOLOGY,3B,31.0,91M,7.1,22.3%,14.1%,60.2%,6.2%,0.2,19.7%,high_fcf_yield,False,0,good,2026-05-30,3.1%,3.1%
18,97.0%,NUTX,Nutex Health Inc,0.5,HEALTHCARE,1B,147.4,22M,11.0,25.4%,9.1%,47.5%,31.4%,0.2,10.1%,high_fcf_yield,False,1,partial,2026-05-30,2.2%,2.2%
19,96.5%,CMRE,Costamare Inc,0.5,INDUSTRIALS,2B,15.6,6M,5.4,7.0%,18.4%,58.4%,48.5%,0.9,8.8%,high_earnings_yield,False,0,good,2026-05-30,5.1%,5.1%
20,96.5%,COLL,Collegium Pharmaceutical Inc,0.5,HEALTHCARE,1B,35.4,13M,18.9,23.3%,5.3%,60.7%,23.8%,0.1,4.5%,high_fcf_yield,False,1,partial,2026-05-30,3.2%,3.2%
21,96.4%,CMCSA,Comcast Corp,0.5,COMMUNICATION SERVICES,84B,24.0,829M,4.6,23.8%,22.0%,70.1%,15.3%,0.2,7.2%,high_fcf_yield,False,0,good,2026-05-30,6.2%,6.2%
22,96.2%,CHTR,Charter Communications Inc,0.5,COMMUNICATION SERVICES,19B,145.0,406M,3.6,22.9%,28.1%,43.3%,24.1%,0.1,3.2%,high_earnings_yield,False,1,partial,2026-05-30,4.6%,4.6%
23,96.1%,APA,APA Corporation,0.5,ENERGY,13B,37.3,181M,8.6,11.2%,11.6%,48.6%,32.7%,0.1,8.5%,high_earnings_yield,False,0,good,2026-05-30,3.3%,3.3%
24,96.1%,YELP,Yelp Inc,0.4,COMMUNICATION SERVICES,1B,26.4,26M,11.3,17.9%,8.9%,88.9%,12.8%,0.0,13.7%,high_fcf_yield,False,1,partial,2026-05-30,4.3%,4.3%
25,95.9%,HL,Hecla Mining Company,0.4,BASIC MATERIALS,10B,14.1,586M,34.8,4.9%,2.9%,50.9%,44.4%,0.0,8.1%,high_fcf_yield,False,0,good,2026-05-30,2.2%,2.2%
