rank,percentile,ticker,company_name,score,sector,market_cap,price,liquidity,pe_ratio,fcf_yield,earnings_yield,ttm_gross_margin,ttm_operating_margin,debt_to_ebitda,roa,top_factor,value_trap,missing_factor_count,data_quality,feature_available_date,weight_pct,alloc_pct
1,99.7%,ZTO,ZTO Express (Cayman) Inc,1.0,INDUSTRIALS,18B,24.0,38M,2.1,22.2%,47.7%,24.9%,20.1%,1.7,9.4%,high_earnings_yield,False,0,good,2026-05-30,6.5%,6.5%
2,99.5%,KSS,Kohl's Corporation,1.0,CONSUMER CYCLICAL,2B,19.1,62M,8.1,44.8%,12.4%,39.4%,3.2%,0.1,2.1%,high_fcf_yield,False,0,good,2026-06-29,2.2%,2.2%
3,99.4%,HLF,Herbalife Nutrition Ltd,1.0,CONSUMER DEFENSIVE,1B,12.4,17M,5.6,27.8%,17.8%,75.9%,9.1%,0.0,8.3%,high_fcf_yield,False,0,good,2026-05-30,2.0%,2.0%
4,99.2%,ENR,Energizer Holdings Inc,0.8,INDUSTRIALS,1B,21.0,19M,7.4,11.0%,13.5%,40.9%,14.7%,0.1,4.4%,high_earnings_yield,False,0,good,2026-05-30,3.1%,3.1%
5,99.1%,EIX,Edison International,0.8,UTILITIES,31B,73.4,185M,7.7,-2.3%,13.0%,37.7%,21.3%,1.1,3.9%,high_earnings_yield,False,0,good,2026-05-30,7.5%,7.5%
6,99.0%,IAG,IAMGold Corporation,0.7,BASIC MATERIALS,8B,14.2,71M,8.3,15.1%,12.0%,47.9%,44.8%,0.0,16.9%,high_fcf_yield,False,0,good,2026-05-30,2.1%,2.1%
7,98.8%,GFI,Gold Fields Ltd ADR,0.7,BASIC MATERIALS,29B,32.4,118M,6.0,13.3%,16.6%,52.5%,48.3%,0.1,31.7%,high_earnings_yield,False,0,good,2026-03-31,2.7%,2.7%
8,98.6%,GTX,Garrett Motion Inc,0.7,CONSUMER CYCLICAL,6B,31.1,75M,17.3,6.4%,5.8%,24.2%,14.2%,0.0,14.5%,high_earnings_yield,False,0,good,2026-05-30,3.0%,3.0%
9,98.5%,AU,AngloGold Ashanti plc,0.7,BASIC MATERIALS,42B,79.3,199M,11.5,10.0%,8.7%,52.2%,48.1%,0.0,22.1%,high_fcf_yield,False,0,good,2026-05-30,2.6%,2.6%
10,98.4%,BHP,BHP Group Limited,0.7,BASIC MATERIALS,218B,84.5,196M,9.9,9.7%,10.1%,82.7%,41.0%,0.1,18.7%,high_earnings_yield,False,0,good,2026-03-01,5.5%,5.5%
11,98.2%,CARG,CarGurus,0.7,CONSUMER CYCLICAL,3B,36.2,40M,23.1,8.1%,4.3%,89.9%,21.7%,0.0,28.7%,high_fcf_yield,False,1,partial,2026-05-30,4.6%,4.6%
12,97.9%,CALM,Cal-Maine Foods Inc,0.6,CONSUMER DEFENSIVE,4B,87.8,90M,13.0,8.0%,7.7%,23.1%,12.8%,0.0,10.1%,high_earnings_yield,False,0,good,2026-07-30,5.9%,5.9%
13,97.8%,BBWI,Bath & Body Works Inc.,0.6,CONSUMER CYCLICAL,4B,20.1,101M,5.6,22.4%,17.9%,43.2%,15.8%,0.1,14.6%,high_fcf_yield,False,0,good,2026-06-29,3.5%,3.5%
