portfolio,date,net_return,gross_return,tc_cost,turnover,n_stocks
top_pct_20,2005-04-30,-0.09749749821300924,-0.09649749821300924,0.001,1.0,1
top_pct_20,2005-05-31,-0.007120253164557,-0.007120253164557,0.0,0.0,1
top_pct_20,2005-06-30,0.08764940239043817,0.08764940239043817,0.0,0.0,1
top_pct_20,2005-07-31,0.0849816849816849,0.0849816849816849,0.0,0.0,1
top_pct_20,2005-08-31,0.05705604321404456,0.05705604321404456,0.0,0.0,1
top_pct_20,2005-09-30,0.10178169643271806,0.10178169643271806,0.0,0.0,1
top_pct_20,2005-10-31,-0.09157401989467517,-0.09157401989467517,0.0,0.0,1
top_pct_20,2005-11-30,0.03607085346215788,0.03607085346215788,0.0,0.0,1
top_pct_20,2005-12-31,0.03885607709045691,0.03885607709045691,0.0,0.0,1
top_pct_20,2006-01-31,0.18043087971274696,0.18043087971274696,0.0,0.0,1
top_pct_20,2006-02-28,-0.08517110266159689,-0.08517110266159689,0.0,0.0,1
top_pct_20,2006-03-31,0.11483038653748223,0.11483038653748223,0.0,0.0,1
top_pct_20,2006-04-30,0.037190086144545886,0.03769008614454589,0.0005,0.5,2
top_pct_20,2006-05-31,-0.09892286499472762,-0.09858953166139428,0.00033333333333333343,0.33333333333333337,3
top_pct_20,2006-06-30,-0.004690964375852035,-0.003890964375852035,0.0008,0.8,5
top_pct_20,2006-07-31,-0.03714429075000081,-0.036699846305556366,0.00044444444444444447,0.4444444444444444,9
top_pct_20,2006-08-31,0.018741851547285283,0.018941851547285282,0.00019999999999999996,0.19999999999999996,10
top_pct_20,2006-09-30,0.056576194545344106,0.05684892181807138,0.00027272727272727274,0.2727272727272727,11
top_pct_20,2006-10-31,0.06118448987063309,0.06182448987063309,0.00064,0.64,25
top_pct_20,2006-11-30,0.016538946851453077,0.016882696851453077,0.00034375000000000003,0.34375,32
top_pct_20,2006-12-31,-0.000527364591516757,-0.0003508940032814628,0.00017647058823529416,0.17647058823529416,32
top_pct_20,2007-01-31,0.03862596678636727,0.039370152832878896,0.000744186046511628,0.7441860465116279,86
top_pct_20,2007-02-28,-0.001421558531311517,-0.0013761039858569716,4.545454545454542e-05,0.045454545454545414,87
top_pct_20,2007-03-31,0.02029973182817036,0.020344176272614804,4.44444444444444e-05,0.0444444444444444,90
top_pct_20,2007-04-30,0.04278947498780126,0.04294164890084474,0.00015217391304347827,0.15217391304347827,91
top_pct_20,2007-05-31,0.055203087964877995,0.055279174921399735,7.608695652173914e-05,0.07608695652173914,92
top_pct_20,2007-06-30,-0.009034991542333332,-0.008805824875666664,0.0002291666666666666,0.22916666666666663,95
top_pct_20,2007-07-31,-0.025365420339161688,-0.025283787686100463,8.163265306122448e-05,0.08163265306122447,97
top_pct_20,2007-08-31,0.004980478853991016,0.005011406689042562,3.0927835051546395e-05,0.030927835051546393,96
top_pct_20,2007-09-30,0.03645130778634949,0.03655334860267602,0.00010204081632653062,0.10204081632653061,95
top_pct_20,2007-10-31,0.023406507160100835,0.023438086107469256,3.157894736842104e-05,0.03157894736842104,95
top_pct_20,2007-11-30,-0.05045659853692829,-0.05037412431012417,8.247422680412375e-05,0.08247422680412375,94
top_pct_20,2007-12-31,0.0024283716915484235,0.00257270158845564,0.00014432989690721655,0.14432989690721654,96
top_pct_20,2008-01-31,-0.04197436283000682,-0.041880612830006825,9.375e-05,0.09375,92
